number1,number2,result
14170,68130,82300
78907,81093,160000
27734,25005,52739
38722,49377,88099
145,76461,76606
56531,7918,64449
75696,55582,131278
9656,17276,26932
98116,81254,179370
9471,28316,37787
65630,56313,121943
96083,23903,119986
88993,68117,157110
51130,54995,106125
24439,24331,48770
17549,23142,40691
7131,28028,35159
35912,62240,98152
25687,84766,110453
13243,81132,94375
16168,65522,81690
66073,97801,163874
61957,26258,88215
15041,41627,56668
19213,18862,38075
8295,92598,100893
74497,61932,136429
14664,9441,24105
43420,95355,138775
778,17260,18038
67076,44503,111579
28512,13963,42475
36875,13801,50676
98978,82762,181740
41142,61130,102272
6204,44395,50599
77323,81916,159239
81039,63792,144831
53786,40549,94335
64340,81505,145845
70984,18335,89319
57581,27810,85391
18519,17029,35548
84227,74423,158650
18232,78652,96884
73864,90184,164048
7295,88017,95312
94591,95803,190394
88808,58269,147077
8223,36589,44812
3505,57761,61266
56673,43305,99978
42764,1265,44029
17344,65745,83089
81162,70699,151861
76826,53518,130344
9510,7824,17334
28581,91865,120446
44999,43249,88248
30058,90923,120981
27054,16655,43709
24712,46859,71571
56124,79366,135490
92427,730,93157
57084,42731,99815
22754,45375,68129
99609,69244,168853
74097,65467,139564
81988,24556,106544
71801,68439,140240
83516,91709,175225
89788,63970,153758
43742,12643,56385
82279,88042,170321
99360,35504,134864
69681,9209,78890
11865,72007,83872
60547,91491,152038
42133,23799,65932
18637,99867,118504
91052,72566,163618
5742,47585,53327
17576,87331,104907
17033,1065,18098
16551,53854,70405
92277,73401,165678
39466,50463,89929
10958,66742,77700
65509,57940,123449
24292,886,25178
41428,88739,130167
74079,23887,97966
25250,60557,85807
39523,27265,66788
48254,24050,72304
40145,13421,53566
50899,28538,79437
50019,5393,55412
4150,95798,99948
59187,7326,66513
78484,14432,92916
76732,35811,112543
35663,35076,70739
57833,6784,64617
69951,38493,108444
17922,21644,39566
29125,91321,120446
36545,35405,71950
97569,47054,144623
68955,64484,133439
44254,36866,81120
45425,83145,128570
99320,30148,129468
88977,17955,106932
66335,76811,143146
93185,89953,183138
65613,56058,121671
9111,10455,19566
72504,94570,167074
13312,38296,51608
74592,99509,174101
94269,43602,137871
13887,98703,112590
93136,20157,113293
38922,42939,81861
71884,74058,145942
79931,42480,122411
75612,56170,131782
64686,44927,109613
52451,2047,54498
67509,63858,131367
34729,71442,106171
2854,7415,10269
94479,92372,186851
37919,86947,124866
11529,66447,77976
75961,68129,144090
63974,61224,125198
4492,33005,37497
62283,34383,96666
55568,36405,91973
93633,95262,188895
59093,94578,153671
18835,36988,55823
28864,52724,81588
83642,76263,159905
77416,53623,131039
36798,44471,81269
83602,94852,178454
98255,43404,141659
2190,23007,25197
48788,14664,63452
81614,31193,112807
48657,43601,92258
95129,38193,133322
32127,1398,33525
88751,96134,184885
50276,77266,127542
55941,72159,128100
70297,24546,94843
54216,21742,75958
58640,85140,143780
33242,4493,37735
34770,70485,105255
35498,89574,125072
63896,10154,74050
2975,85167,88142
87375,20780,108155
92110,75324,167434
17340,14918,32258
89421,32767,122188
24566,13483,38049
67265,2107,69372
3125,81656,84781
80871,31014,111885
39497,13730,53227
15788,65332,81120
85957,38305,124262
49167,99362,148529
85039,49022,134061
49601,48750,98351
27927,75505,103432
44517,63144,107661
43734,86101,129835
61829,87881,149710
25548,95416,120964
9295,3162,12457
78533,29196,107729
80862,4562,85424
31076,54762,85838
79807,94243,174050
86360,75175,161535
56600,18245,74845
26500,63538,90038
16010,13904,29914
33043,39299,72342
7023,62637,69660
79628,29779,109407
90243,31639,121882
32429,56791,89220
54550,6653,61203
13785,41451,55236
69193,8771,77964
98678,33796,132474
36010,38056,74066
59748,1157,60905
52330,22072,74402
28028,81431,109459
82290,14290,96580
20131,63162,83293
60962,89325,150287
52459,48419,100878
72170,92683,164853
13585,50327,63912
5192,68316,73508
81560,44906,126466
64996,22518,87514
29902,50920,80822
87641,45185,132826
7082,3236,10318
40453,38736,79189
1370,41919,43289
38013,53783,91796
58342,658,59000
43921,31093,75014
76756,79247,156003
61277,77060,138337
73522,34041,107563
71812,79984,151796
30898,68721,99619
28764,67198,95962
5668,40311,45979
53110,35206,88316
3628,29701,33329
9997,38965,48962
40389,4024,44413
3737,28525,32262
80901,75753,156654
66811,24033,90844
67410,31548,98958
87106,78039,165145
54332,5183,59515
92311,60615,152926
19464,23795,43259
21158,34231,55389
29437,39877,69314
83492,83097,166589
79270,78524,157794
53527,38336,91863
22625,38738,61363
7541,17040,24581
56910,60596,117506
11011,15920,26931
79598,34913,114511
85337,63523,148860
15294,98205,113499
59135,78922,138057
94823,31021,125844
88707,83949,172656
68475,53342,121817
13263,97288,110551
13336,69561,82897
39986,99329,139315
66213,8417,74630
96991,85037,182028
76211,17985,94196
59096,56605,115701
20531,59807,80338
92508,53312,145820
58026,33657,91683
96074,84967,181041
38190,32699,70889
35555,85598,121153
30384,22616,53000
4473,30568,35041
67723,2189,69912
14485,8382,22867
27529,30873,58402
96505,53710,150215
26068,68917,94985
65810,81659,147469
61430,79636,141066
41880,84784,126664
90502,12089,102591
49354,64501,113855
37404,28597,66001
624,59889,60513
98480,74291,172771
87101,68161,155262
3781,40629,44410
22491,72445,94936
82580,94715,177295
53742,68711,122453
22035,63491,85526
75189,21270,96459
1847,97151,98998
8380,44853,53233
92784,43753,136537
76810,93413,170223
27274,45807,73081
94781,51222,146003
22756,20392,43148
43599,84453,128052
95028,41001,136029
54719,44502,99221
98452,19831,118283
89848,11071,100919
84196,88093,172289
45115,56748,101863
77931,9562,87493
20095,93859,113954
54705,8663,63368
87967,65292,153259
32694,40253,72947
45935,99046,144981
90177,41340,131517
65295,31932,97227
47152,96344,143496
22224,23056,45280
3893,19057,22950
3780,49360,53140
56604,74131,130735
37880,79925,117805
42806,51422,94228
35087,20731,55818
58041,963,59004
38628,70545,109173
92906,48256,141162
47185,13279,60464
42785,37465,80250
83868,99779,183647
69305,79060,148365
43071,61295,104366
24369,37977,62346
76411,7748,84159
34513,50349,84862
96294,73303,169597
2598,24327,26925
89421,89134,178555
67042,54045,121087
14824,45297,60121
78371,90270,168641
95770,10648,106418
49433,29726,79159
50782,65577,116359
49867,78851,128718
60565,46861,107426
10694,82232,92926
3448,96048,99496
65166,24737,89903
78788,33626,112414
64822,46028,110850
13280,48297,61577
50112,62284,112396
38520,7442,45962
28031,43588,71619
71552,98387,169939
69468,64174,133642
69155,91609,160764
98609,13176,111785
1833,80680,82513
45847,3408,49255
83422,30001,113423
45160,18832,63992
86036,63489,149525
70220,31648,101868
94763,15154,109917
25910,29819,55729
42298,65184,107482
78432,58621,137053
7843,22027,29870
33089,57641,90730
36096,19321,55417
85422,11816,97238
57781,18361,76142
50500,87942,138442
48136,15766,63902
23704,81673,105377
36893,23244,60137
15923,72244,88167
89595,87731,177326
16947,97837,114784
97089,37063,134152
72539,3737,76276
10743,55665,66408
79394,1259,80653
56408,64985,121393
38115,68207,106322
95382,53312,148694
28313,98368,126681
29679,91682,121361
57285,9068,66353
36422,67103,103525
8011,13135,21146
8967,44587,53554
52094,43308,95402
7935,11711,19646
2577,29123,31700
55210,82553,137763
55951,26132,82083
92840,22109,114949
75094,75917,151011
62577,21138,83715
17081,51750,68831
29416,63762,93178
2623,78469,81092
89935,60934,150869
31716,46450,78166
97459,8662,106121
64704,39315,104019
83547,22794,106341
65455,47944,113399
25654,81824,107478
66982,23841,90823
32691,4828,37519
51835,87131,138966
4762,23528,28290
47264,25406,72670
74686,51915,126601
6054,4723,10777
28313,42139,70452
55001,52778,107779
6429,59027,65456
40931,20246,61177
31943,2305,34248
22611,11431,34042
75877,80365,156242
85671,89040,174711
51252,7293,58545
16816,49649,66465
62385,93422,155807
93624,61152,154776
91307,42498,133805
44571,30029,74600
51165,15347,66512
53201,6287,59488
26995,33416,60411
36709,42754,79463
69817,550,70367
79444,13578,93022
67469,22759,90228
45190,74875,120065
31203,89782,120985
41956,96243,138199
44474,12973,57447
87822,55607,143429
53583,60089,113672
71671,36295,107966
11042,80478,91520
56656,31680,88336
41914,98724,140638
26195,82064,108259
46040,69998,116038
87220,42303,129523
34960,43789,78749
71393,54172,125565
39747,76009,115756
26170,74767,100937
61076,85041,146117
80176,30291,110467
48590,59770,108360
52640,94581,147221
89331,91331,180662
18284,45135,63419
75976,1506,77482
51254,42992,94246
19517,38596,58113
26883,98112,124995
52461,96997,149458
71539,2349,73888
59285,34003,93288
96993,26143,123136
77620,30781,108401
69239,59768,129007
57526,95875,153401
7966,28261,36227
27385,86362,113747
92226,62374,154600
13062,34479,47541
94505,61382,155887
7206,32476,39682
62289,24658,86947
88493,75604,164097
95006,66351,161357
51536,63043,114579
36420,46795,83215
64832,92869,157701
32547,24872,57419
12514,21571,34085
75896,54947,130843
7759,19033,26792
7038,21842,28880
37000,75838,112838
99369,32824,132193
93484,75868,169352
25988,13639,39627
60071,43088,103159
73026,56758,129784
11575,70424,81999
96893,5212,102105
92030,9644,101674
41034,50686,91720
51268,18721,69989
85163,43218,128381
4544,26680,31224
44569,10636,55205
12936,18516,31452
12805,94075,106880
92872,40537,133409
88021,98476,186497
63044,36608,99652
36013,55505,91518
87736,29814,117550
86802,30354,117156
34775,33924,68699
78447,38095,116542
15057,8356,23413
19617,48834,68451
75032,48294,123326
70722,42625,113347
55149,21110,76259
64231,88689,152920
45131,63909,109040
10746,74115,84861
9762,59245,69007
98900,35714,134614
24148,35648,59796
44844,80632,125476
97988,34487,132475
38515,47275,85790
62516,8917,71433
209,40963,41172
48508,11962,60470
92810,33711,126521
54537,42993,97530
20235,48209,68444
6238,54493,60731
38770,61857,100627
42883,34473,77356
8289,75439,83728
23231,71416,94647
98378,5452,103830
6800,74005,80805
69180,17706,86886
81882,24189,106071
58042,43506,101548
56075,78533,134608
77967,92319,170286
27320,1743,29063
78692,86946,165638
24156,12106,36262
93823,16171,109994
94557,1705,96262
18208,99582,117790
17964,60172,78136
67398,67929,135327
59973,55445,115418
81626,89803,171429
57692,73747,131439
58267,18265,76532
69079,41167,110246
89868,21933,111801
21253,20074,41327
69040,7605,76645
56901,39976,96877
99030,53540,152570
37964,94304,132268
20908,43861,64769
22743,76342,99085
19074,35803,54877
54102,44216,98318
43673,6683,50356
83601,96286,179887
27323,11434,38757
63061,64932,127993
56393,89029,145422
51197,24307,75504
29393,28416,57809
95823,98006,193829
43496,24107,67603
16188,2674,18862
46420,31571,77991
5218,85525,90743
49277,27828,77105
82475,45095,127570
26296,29356,55652
16009,91729,107738
6709,34206,40915
80764,95203,175967
23305,81242,104547
77173,70327,147500
12588,51194,63782
33286,39110,72396
38032,53829,91861
59576,48669,108245
25366,66133,91499
75479,34034,109513
87723,97341,185064
53772,43358,97130
32210,3663,35873
98205,44727,142932
84911,60173,145084
64065,20615,84680
43715,39731,83446
63984,13189,77173
85671,65845,151516
40380,50335,90715
49828,22676,72504
36512,92413,128925
43459,36234,79693
94105,51033,145138
90622,26849,117471
82441,75263,157704
12946,33440,46386
60147,8232,68379
46930,95119,142049
87080,49370,136450
95487,72945,168432
23277,85946,109223
65675,10103,75778
52889,31224,84113
16024,24843,40867
69843,29777,99620
48579,38041,86620
23636,70720,94356
12546,22981,35527
73441,17240,90681
32414,63424,95838
95574,65863,161437
82938,32891,115829
41051,50839,91890
13617,2928,16545
50372,37258,87630
92544,59207,151751
33416,67915,101331
55203,95281,150484
99682,26520,126202
44876,44123,88999
26102,17964,44066
21658,68696,90354
436,62913,63349
54626,31734,86360
80388,47533,127921
92626,59532,152158
63560,37007,100567
67414,48932,116346
59445,16854,76299
98362,73778,172140
17998,12489,30487
97899,94464,192363
28819,43869,72688
22335,5476,27811
61295,89953,151248
68045,4477,72522
32396,77479,109875
24495,98913,123408
90601,41727,132328
16234,54114,70348
69475,27970,97445
7240,60836,68076
69929,38073,108002
70542,5515,76057
41953,42689,84642
59021,78481,137502
70110,57262,127372
3209,79208,82417
1908,92285,94193
32164,9754,41918
285,23474,23759
4384,36094,40478
19174,42537,61711
54734,94928,149662
65114,20680,85794
48786,63169,111955
5809,375,6184
79857,36097,115954
7081,17574,24655
83564,69297,152861
20273,88128,108401
4923,49964,54887
83716,67437,151153
66619,66118,132737
22965,30538,53503
14311,52214,66525
84322,16618,100940
4878,64642,69520
36267,59944,96211
6583,77866,84449
8702,30776,39478
55074,750,55824
65029,35186,100215
80059,504,80563
83622,35777,119399
93690,29134,122824
87374,51373,138747
21915,67555,89470
88431,52683,141114
88779,59653,148432
63342,83406,146748
7042,38230,45272
15204,30083,45287
82228,7128,89356
45183,55665,100848
71710,88545,160255
90526,39309,129835
48660,5292,53952
31922,54762,86684
19775,17305,37080
8882,75583,84465
61033,43487,104520
52105,24099,76204
49120,74317,123437
24538,39657,64195
59625,5942,65567
910,43122,44032
7577,56489,64066
72318,10883,83201
42127,45673,87800
26751,91033,117784
25933,83801,109734
73846,5281,79127
74025,34010,108035
22724,39901,62625
79085,65728,144813
29801,95443,125244
41933,1126,43059
75872,28632,104504
69656,57571,127227
51483,96827,148310
49518,12052,61570
52409,60705,113114
59411,99784,159195
59099,54624,113723
44090,87237,131327
33082,15773,48855
48654,97334,145988
72314,29959,102273
29280,82626,111906
37889,25946,63835
6192,62294,68486
29517,48715,78232
1650,46491,48141
76313,96720,173033
63358,67953,131311
18116,71802,89918
70717,15750,86467
87711,41158,128869
71711,66863,138574
36151,80355,116506
56039,83054,139093
3794,40084,43878
6353,3836,10189
21260,64417,85677
80739,3180,83919
50617,35323,85940
97946,74845,172791
21442,85490,106932
75612,5079,80691
54242,29166,83408
35627,22231,57858
75014,98206,173220
62383,65595,127978
39631,76716,116347
53167,92108,145275
58651,10694,69345
59311,55548,114859
18367,59828,78195
16695,54343,71038
19737,4846,24583
68378,42607,110985
69664,86122,155786
85085,59781,144866
8924,68280,77204
36826,38990,75816
31740,29800,61540
9450,83563,93013
50344,76209,126553
20056,8157,28213
46414,59015,105429
37195,16301,53496
59401,22627,82028
87298,32116,119414
38718,91013,129731
49435,85772,135207
71664,66414,138078
60487,87935,148422
37265,38174,75439
81924,24280,106204
82969,25194,108163
51635,73737,125372
84171,52476,136647
38555,90104,128659
73952,36283,110235
84317,38936,123253
51353,49715,101068
17001,10817,27818
67757,42691,110448
41757,91390,133147
77242,99352,176594
74160,49839,123999
2281,76057,78338
2467,12504,14971
16490,87610,104100
60138,88240,148378
21482,54137,75619
97773,47349,145122
9272,4325,13597
76917,53968,130885
60789,80099,140888
10681,67823,78504
52015,32760,84775
18923,75997,94920
43913,41172,85085
29157,23651,52808
95335,18008,113343
52183,5581,57764
2065,96344,98409
79921,18433,98354
69162,28372,97534
71616,6377,77993
87446,60937,148383
93731,53396,147127
6458,52091,58549
26321,60208,86529
22675,35401,58076
65669,96205,161874
27926,68893,96819
2330,59683,62013
9751,10841,20592
40614,72401,113015
90420,99731,190151
92946,30036,122982
37980,17487,55467
1949,75850,77799
16900,47560,64460
31168,29201,60369
54762,40521,95283
71266,48973,120239
75955,27966,103921
57709,51567,109276
52986,59671,112657
36073,4094,40167
74413,43528,117941
69724,95736,165460
1549,14101,15650
79089,76553,155642
21498,6905,28403
87878,9611,97489
1922,1098,3020
6098,26206,32304
51470,66414,117884
97581,8532,106113
25694,92873,118567
12417,99782,112199
77538,93833,171371
50966,26018,76984
24231,48633,72864
70856,52817,123673
71105,71921,143026
78214,68502,146716
74447,49166,123613
70820,8197,79017
29704,72791,102495
62654,3376,66030
21636,2058,23694
84038,2901,86939
3722,88907,92629
6831,8415,15246
29161,34776,63937
68665,27380,96045
10119,49868,59987
74258,84140,158398
39881,70248,110129
31413,70890,102303
66815,56959,123774
26250,36416,62666
70408,89031,159439
41743,84850,126593
19959,12726,32685
54786,75534,130320
17404,10769,28173
71491,8702,80193
33084,96322,129406
33293,24056,57349
46224,59530,105754
93132,59937,153069
13918,47541,61459
31103,9002,40105
8534,88224,96758
4232,14540,18772
21339,56572,77911
53049,96942,149991
96083,42808,138891
34833,25715,60548
75507,99409,174916
53184,18410,71594
36639,19222,55861
40869,92177,133046
14804,69207,84011
22941,36415,59356
36200,1246,37446
51194,1446,52640
89807,90161,179968
61732,19725,81457
26509,22617,49126
56792,58068,114860
85091,49443,134534
65932,44110,110042
19841,20020,39861
71030,51790,122820
11390,9967,21357
6407,51123,57530
43704,53489,97193
99444,21864,121308
32493,84271,116764
73672,24753,98425
16330,12454,28784
51562,37927,89489
81609,41504,123113
76808,53820,130628
10579,21562,32141
18938,49236,68174
34890,83904,118794
82880,61938,144818
30716,95589,126305
29097,99075,128172
64639,97250,161889
31854,19194,51048
47609,95308,142917
7507,44756,52263
54127,80819,134946
91107,90133,181240
7892,83049,90941
5034,78525,83559
42816,87536,130352
10801,60907,71708
16645,88629,105274
21844,12264,34108
12307,69935,82242
21013,37625,58638
38999,55932,94931
9013,90057,99070
72997,71473,144470
24918,45789,70707
93143,11138,104281
41788,96465,138253
57227,3269,60496
18002,29055,47057
72328,23517,95845
95666,33278,128944
40048,64570,104618
53554,78810,132364
83643,96635,180278
73831,16641,90472
87987,38121,126108
52026,54382,106408
14795,40244,55039
29704,15945,45649
75948,36983,112931
37946,19020,56966
8690,29102,37792
70898,77479,148377
42959,70430,113389
73911,47442,121353
57804,22454,80258
92699,36706,129405
13426,72700,86126
75712,35787,111499
83249,392,83641
62784,82160,144944
53306,9056,62362
62555,66058,128613
24363,83074,107437
30468,95502,125970
74821,16441,91262
26948,98599,125547
86408,44534,130942
93579,29961,123540
75245,27558,102803
85824,45734,131558
40784,21368,62152
33989,87027,121016
949,90495,91444
51174,92306,143480
58155,55188,113343
89483,33918,123401
74607,33974,108581
87308,9850,97158
58203,33391,91594
82250,39562,121812
23359,74121,97480
97135,15657,112792
69542,35444,104986
40547,82884,123431
59716,20581,80297
47161,12457,59618
21259,70151,91410
56589,4897,61486
42879,38566,81445
60714,3028,63742
26767,49332,76099
74157,14773,88930
38015,80738,118753
67466,6472,73938
76643,44840,121483
70204,90215,160419
74153,15713,89866
98290,62383,160673
53649,64929,118578
90908,52199,143107
78860,60772,139632
2792,41333,44125
4872,60218,65090
64331,36675,101006
89995,54200,144195
44384,97998,142382
26886,9144,36030
81887,73083,154970
89766,93563,183329
36643,23036,59679
51774,35385,87159
90150,81957,172107
51877,83261,135138
68076,67002,135078
24372,46423,70795
15533,67908,83441
92920,11268,104188
70781,83532,154313
33633,54935,88568
34606,74124,108730
29198,65794,94992
32493,69516,102009
85944,93644,179588
51426,33540,84966
73408,73107,146515
13489,14341,27830
55259,25178,80437
42509,10180,52689
87678,59348,147026
88070,47907,135977
75927,49123,125050
56391,45000,101391
38868,33341,72209
5027,49027,54054
13659,46156,59815
99715,31640,131355
90692,81499,172191
59101,43328,102429
62539,31810,94349
53039,22630,75669
68252,44170,112422
77247,30030,107277
55255,54162,109417
4785,62775,67560
99215,60504,159719
93057,57947,151004
81884,28496,110380
49776,74869,124645
24083,81787,105870
57165,76255,133420
68466,49312,117778
57370,16691,74061
16789,32374,49163
84617,56576,141193
53451,48320,101771
90572,89681,180253
21397,66390,87787
81668,88327,169995
43805,89784,133589
36746,16112,52858
11402,63130,74532
875,50045,50920
30056,47894,77950
85368,7184,92552
44409,81513,125922
49150,94978,144128
29941,98201,128142
17595,44967,62562
8244,92821,101065
49910,38856,88766
68419,14217,82636
73447,57165,130612
19943,47082,67025
12733,21413,34146
70206,68245,138451
50416,33830,84246
3345,93078,96423
86169,79065,165234
66739,95181,161920
40966,20168,61134
16127,41633,57760
23290,40959,64249
33482,67747,101229
46544,59101,105645
21498,71516,93014
2931,58538,61469
30343,35628,65971
74803,61559,136362
70468,86106,156574
3271,55480,58751
17338,99019,116357
96053,20729,116782
50633,62964,113597
88441,47337,135778
56829,66261,123090
61388,87693,149081
8161,18214,26375
81832,62735,144567
96652,31259,127911
92235,32380,124615
13211,34777,47988
44693,52609,97302
64692,76075,140767
49198,59753,108951
56813,96901,153714
37748,3456,41204
76322,89391,165713
51816,59942,111758
29021,75679,104700
62100,48741,110841
37036,14685,51721
99457,12238,111695
66139,34998,101137
43022,66240,109262
94486,29225,123711
69816,79077,148893
91214,3636,94850
44590,38493,83083
69572,38890,108462
3453,8525,11978
90716,1463,92179
35759,85897,121656
3891,25194,29085
68517,34156,102673
74161,7109,81270
89859,25632,115491
40333,15492,55825
98196,99360,197556
73505,15523,89028
58790,82597,141387
78388,49398,127786
51023,7389,58412
16208,35214,51422
65437,38839,104276
3937,43208,47145
57997,2302,60299
95515,94465,189980
7090,55034,62124
91309,51999,143308
55728,18293,74021
2725,44752,47477
31286,95267,126553
56530,64253,120783
71773,66797,138570
82524,64489,147013
58646,18599,77245
77574,85143,162717
78266,4476,82742
26597,36693,63290
28962,92448,121410
60687,54438,115125
35533,84117,119650
982,85622,86604
4629,54153,58782
83573,69631,153204
73415,55383,128798
42727,89360,132087
14991,62847,77838
86383,72396,158779
97921,92425,190346
26807,16498,43305
35118,23615,58733
96908,97262,194170
19945,21492,41437
75263,28848,104111
19464,30777,50241
97965,84869,182834
78761,70575,149336
86367,78565,164932
99343,41201,140544
69403,20099,89502
88676,81650,170326
10404,79328,89732
46480,15472,61952
58594,53118,111712
50753,33260,84013
14793,95944,110737
29242,99774,129016
89733,74457,164190
39213,17723,56936
63509,64306,127815
85285,52824,138109
24927,21856,46783
37075,71050,108125
98655,44436,143091
72286,71308,143594
88211,25472,113683
88168,37178,125346
60815,47623,108438
39580,53943,93523
90461,41626,132087
93165,19196,112361
51555,27671,79226
61532,11801,73333
28500,790,29290
103,77769,77872
26252,19659,45911
41531,35090,76621
4194,48489,52683
15251,58473,73724
27424,68025,95449
6431,22900,29331
3645,62726,66371
40003,93706,133709
94235,84410,178645
41431,67460,108891
53858,62545,116403
98764,55333,154097
60926,1745,62671
95633,16453,112086
5536,67510,73046
50222,64233,114455
63948,41127,105075
25317,60044,85361
72830,43831,116661
4801,68413,73214
69491,32056,101547
2974,55392,58366
15094,51339,66433
40430,38764,79194
23906,63499,87405
52342,19927,72269
93814,61010,154824
6173,39203,45376
24749,58689,83438
54389,79402,133791
77972,13285,91257
65962,50473,116435
91181,24152,115333
54101,39819,93920
67567,43678,111245
85097,6728,91825
15421,6568,21989
38941,31756,70697
411,96691,97102
23586,67425,91011
96032,17610,113642
50945,22124,73069
68274,17657,85931
47191,87964,135155
25348,9517,34865
48985,83433,132418
83411,64692,148103
16292,33963,50255
97797,10861,108658
97413,69122,166535
50865,29227,80092
3393,18229,21622
70000,55704,125704
47327,53945,101272
23932,98185,122117
58646,36906,95552
50600,17603,68203
82132,60529,142661
66283,2161,68444
36972,36460,73432
64267,14828,79095
88865,69361,158226
8650,192,8842
56427,82636,139063
99098,30846,129944
40271,67332,107603
6483,4136,10619
94713,70442,165155
11602,77173,88775
28979,51568,80547
62511,92763,155274
33968,51097,85065
77868,90718,168586
37845,14795,52640
56248,56617,112865
62534,89016,151550
58283,75561,133844
22437,27099,49536
94334,6858,101192
40346,44890,85236
66389,62804,129193
54880,45271,100151
13957,86496,100453
20571,24869,45440
37424,89618,127042
56787,33959,90746
4078,3313,7391
48618,24958,73576
36210,45736,81946
30586,63614,94200
79539,18402,97941
45310,410,45720
5791,79352,85143
26016,19048,45064
50026,70727,120753
14649,98290,112939
65631,57518,123149
3275,87390,90665
52666,43281,95947
64282,15636,79918
2675,47966,50641
88782,91329,180111
83124,67075,150199
24876,52195,77071
61696,34620,96316
44941,84509,129450
10565,69091,79656
73061,7786,80847
31025,67355,98380
68755,48984,117739
32918,71496,104414
98307,49825,148132
43901,75188,119089
35821,73048,108869
45289,99218,144507
84193,67874,152067
28,3295,3323
4390,46524,50914
83393,62277,145670
45008,46700,91708
4617,21830,26447
55256,27484,82740
10363,19534,29897
28276,72460,100736
95363,82120,177483
86949,9938,96887
96178,28248,124426
25170,33267,58437
72823,98980,171803
85050,14763,99813
99709,18982,118691
84908,71829,156737
55151,81497,136648
19916,68831,88747
37858,45042,82900
9362,73528,82890
44721,35777,80498
55509,62328,117837
5105,20901,26006
45125,86342,131467
66443,7709,74152
71516,48852,120368
23219,34421,57640
73899,47841,121740
4626,6783,11409
70379,82803,153182
81315,1527,82842
1019,40551,41570
92275,61700,153975
25406,82539,107945
12106,69108,81214
74150,5020,79170
86946,9982,96928
67536,46725,114261
80964,60598,141562
25170,96054,121224
94753,13935,108688
12944,99525,112469
85274,53644,138918
23091,15046,38137
7097,44070,51167
62296,46971,109267
28531,26966,55497
4749,69437,74186
85706,42032,127738
61625,34606,96231
89382,37686,127068
76053,39779,115832
90965,60992,151957
41418,9590,51008
23953,97276,121229
3570,50818,54388
21613,68209,89822
73945,7457,81402
44603,61057,105660
91206,85647,176853
77299,40648,117947
87132,56541,143673
16954,27997,44951
72282,80062,152344
75395,144,75539
70074,88373,158447
3951,96737,100688
66511,6239,72750
2879,16621,19500
62531,60853,123384
12359,33357,45716
46139,26565,72704
3845,45615,49460
69866,14658,84524
89277,22043,111320
14321,13231,27552
92442,71919,164361
91356,40985,132341
13102,3650,16752
90010,87622,177632
3730,83507,87237
78742,73138,151880
12509,60089,72598
94189,98936,193125
109,8539,8648
64698,45883,110581
95600,6231,101831
63320,74604,137924
67891,20519,88410
31111,33180,64291
9975,38218,48193
67483,61249,128732
93978,60664,154642
990,23965,24955
39605,41985,81590
27894,51618,79512
48435,54661,103096
44633,80936,125569
27590,67865,95455
77405,11404,88809
134,18015,18149
22126,22840,44966
22213,82518,104731
98928,94646,193574
23600,21555,45155
59387,31212,90599
56821,32721,89542
80340,85356,165696
48849,39474,88323
39293,48057,87350
81746,7448,89194
7107,71545,78652
47578,13192,60770
78886,4710,83596
98518,7718,106236
78749,73027,151776
96276,71791,168067
44022,97485,141507
50246,85652,135898
49722,46785,96507
65230,3122,68352
18826,26720,45546
86100,71279,157379
61227,84196,145423
85309,96591,181900
91030,76189,167219
12592,83064,95656
2384,43118,45502
51714,18154,69868
18900,63986,82886
11451,43156,54607
10066,20256,30322
2871,45262,48133
89203,61039,150242
32693,85031,117724
13129,17057,30186
92911,39360,132271
6482,46011,52493
36515,7106,43621
99073,27067,126140
41929,45552,87481
83758,42372,126130
26397,26253,52650
31751,33701,65452
22920,66329,89249
56860,13461,70321
8595,2381,10976
85279,70629,155908
96854,25551,122405
78401,12276,90677
88868,122,88990
1214,97759,98973
60321,68801,129122
4581,91253,95834
62698,62659,125357
15304,49811,65115
19069,2549,21618
70982,5835,76817
37094,78047,115141
89488,98121,187609
78436,75313,153749
19032,8199,27231
74064,76848,150912
18775,65279,84054
49564,26308,75872
68180,45489,113669
78773,55519,134292
46925,27825,74750
53615,87427,141042
30207,50093,80300
57936,85881,143817
11336,95920,107256
9764,12564,22328
23059,59510,82569
48385,41798,90183
2255,54846,57101
56823,9124,65947
88442,21252,109694
98669,70188,168857
23329,49782,73111
21430,25549,46979
28046,12300,40346
29578,26990,56568
46992,23224,70216
20004,79736,99740
81332,88483,169815
62835,61900,124735
75204,76409,151613
90051,74482,164533
81043,11685,92728
19160,10805,29965
40771,5076,45847
12947,21342,34289
79241,90431,169672
63519,52817,116336
41034,30219,71253
11394,88705,100099
10453,44157,54610
99465,69819,169284
89569,82276,171845
13638,8128,21766
4278,63533,67811
71953,15358,87311
36707,87156,123863
92087,59110,151197
53754,38547,92301
44437,5246,49683
43753,67813,111566
70714,32504,103218
39662,96810,136472
54575,77238,131813
57279,66508,123787
83807,33791,117598
80713,8338,89051
1060,57509,58569
93511,31288,124799
44867,36757,81624
58564,16948,75512
43166,46020,89186
28302,83381,111683
96955,87036,183991
14833,90748,105581
87740,38014,125754
94641,47218,141859
90144,74248,164392
51562,89580,141142
55384,50049,105433
71689,81757,153446
73265,60622,133887
50365,3772,54137
38873,25388,64261
39618,71845,111463
41523,20835,62358
56434,20645,77079
68977,37420,106397
62124,80254,142378
